asset_id,condition_id,outcome,question,end_date,active,taker_fee_bps
22052206508396802345807832564213299748015163503955583534831040422025613144765,0xcd5eafaf2212ecd7b9449baa77432e7a294c24415840c0fafcf7befa3ff9e851,YES,Türkiye vs. Paraguay: O/U 4.5,2026-06-20,1,10000000
3849376416880460050281695733446224595340442708960520118632039901884214476721,0x0ef65ebd3f36458137a314bf18e316a8323d033b58f674153abf5c1da97a8eb0,YES,United States vs. Australia: Neither team to score first?,2026-06-19,0,10000000
92561488861306200653515551127164508177041643817804085451517297108384342943002,0x8151ffbdd5fb1aa023d89a87e0bcb1c3f937cbc4c4809dcc149ef314d4dfb67e,YES,Brazil vs. Haiti: Brazil O/U 7.5 Corners,2026-06-20,0,10000000
102626210674798065962375771541173999982610723091615360208628637875408901089302,0x74377cea5f346a3b454dbb136f688f147396381372a1418289723204e242fc3b,NO,Brazil vs. Haiti: 1st Half O/U 1.5,2026-06-20,0,10000000
17731655371274146527295648808697624929449729928985838061486423580100583943465,0xbf4495015ed8f836f441008d833350665abf367fc37bfea456a0cd9c91ec3e01,YES,United States vs. Australia: Draw at halftime?,2026-06-19,0,10000000
59766960653218156854210539100158581897708621767293732123817752892742848367616,0x66c50c8193712be4d94e9e5cdc090be4e82b050c688272fc24a50b80dad48aa0,YES,United States vs. Australia: United States O/U 2.5,2026-06-19,0,10000000
23225003537108989551778066144693688780117165049191039646795238020322501553139,0x151504a17e619414dc09650f6cfeab2bfb63964edd8928a828dadabea3d02d49,NO,Brazil vs. Haiti: Brazil O/U 3.5,2026-06-20,0,10000000
97233106790773448365672642829139371447252605092327628474227549016652073884674,0x93615a466740aef634c9e3b5eb521de1c53b3b73130e72ab45d1bb014ffb3563,NO,Brazil vs. Haiti: O/U 7.5 Total Corners,2026-06-20,0,10000000
103217801677388174143977223195220969255964447389602627193984885576827394216958,0xf73b815cb1f1535bc4034b3ccadb1499a3f6991500f6b8dfe7e05819f1629483,YES,Brazil vs. Haiti: 1st Half O/U 2.5,2026-06-20,0,10000000
18848455154572091871995464302615481925562537664865606850051458548636939303181,0xb0376135438501bca413f3168d1a5f7d198b1f16a5ee058589546b717646420d,NO,Brazil vs. Haiti: Haiti O/U 2.5,2026-06-20,0,10000000
60458990883772494940164349199105055462438816183444026716466018905191626267163,0x7652428a1e00a11d9bf5ae8b4e77c672836e9897137b3d38013d4577649dde93,NO,Türkiye vs. Paraguay: Paraguay O/U 1.5,2026-06-20,1,10000000
32119774861601767809867283650069946484685075980505835201995035137150231372345,0xb1a0254ee2dfe4fc6bb05e521cd068d463245f3763cac6ed3c464d6499a8cc07,YES,Will Türkiye vs. Paraguay end in a draw?,2026-06-20,1,10000000
113898696319517226358497497794483415774297274386843806812081645787342752997162,0x5cac231397cc63e8d8ebc4c555066f77d7ba6581555a42297a9ac0b21e72a17f,YES,United States vs. Australia: O/U 1.5,2026-06-19,0,10000000
27550171473331153659341973521017229164343640427486380147240812482105200771618,0x5cac231397cc63e8d8ebc4c555066f77d7ba6581555a42297a9ac0b21e72a17f,NO,United States vs. Australia: O/U 1.5,2026-06-19,0,10000000
64147676885874536393368337342330969824695219465724382052776679918937183670489,0x8e4a4c0c8a12798216d32432b6a964b7940927865fd89ed5d27bb773198496e2,NO,Brazil vs. Haiti: O/U 10.5 Total Corners,2026-06-20,0,10000000
79278878710484957809327494769790204631250811307958664847166804297749063988349,0x9a369ceb2f78db29486fa7cce4f96b5c7f15e886cba93883620e3de246f10876,NO,United States vs. Australia: 1st Half O/U 2.5,2026-06-19,0,10000000
100239292619075552231752800676583563151183734360205801089243688217016689920374,0x8e04a2d36130e374d38f91b2eb5c564d7d51f856e7bd28e69d7e60ec6ea5634f,YES,Brazil vs. Haiti: O/U 12.5 Total Corners,2026-06-20,0,10000000
29757092182851819799196980644884036135274733831295363673978581164934088864928,0xde6e62a4401b974578ab06dc80380ff7a53b6fd621cef2c86b136698b828327e,YES,Scotland vs. Morocco: Scotland 1st Half O/U 0.5,2026-06-19,0,10000000
